id,keywords
1092,"['staged death', 'black market', 'cemetery', 'investigation', 'soviet military', 'prater', 'british army', 'austria', 'cover-up', 'film noir', 'black and white', 'foot chase', 'vienna, austria', 'sewer', 'missing person', 'post world war ii', 'ferris wheel', 'grim', 'penicillin', 'forged passport', 'ominous']"
1125899,[]
343674,"['child abuse', 'based on novel or book', 'childhood trauma', 'sorrow', 'car accident', 'eclipse', 'dog', 'ghost', 'memoirs']"
678512,"['kidnapping', 'human trafficking', 'based on true story', 'child kidnapping', 'aggressive', 'zealous', 'lost children', 'children in danger', 'colombia', 'appreciative', 'awestruck']"
950396,"['canyon', 'fog', 'romance', 'tower', 'elite sniper', 'snipers', 'long-term observation']"
696506,"['based on novel or book', 'dark comedy', 'space travel', 'space colony', 'alien planet', 'creature', 'space adventure', 'human cloning', 'spaceship', 'space sci-fi', 'black comedy']"
447273,"['princess', 'dwarf', 'fairy tale', 'poison', 'musical', 'apple', 'based on movie', 'evil queen', 'based on fairy tale', 'live action remake', 'clinical', 'fantasy', 'romantic fantasy']"
533535,"['hero', 'superhero', 'anti hero', 'mutant', 'breaking the fourth wall', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)', 'mutants', 'superhero teamup']"
279,"['opera', 'composer', 'musician', 'marriage crisis', 'italy', 'talent', 'emperor', 'austria', 'based on play or musical', 'mozart', 'god', 'murder', 'vienna, austria', 'envy', '18th century', 'prodigy']"
1373723,[]
912649,"['hero', 'superhero', 'anti hero', 'villain', 'alien life-form', 'based on comic', 'sequel', 'aftercreditsstinger', 'woman director', 'angry', 'amused', 'indifferent']"
376867,"['drug dealer', 'high school', 'florida', 'drug abuse', 'parent child relationship', 'fight', 'drug addiction', 'ghetto', 'restaurant', 'coming of age', 'male homosexuality', 'lgbt', 'addict', 'masculinity', 'black lgbt', 'loving', 'gay theme', ""boys' love (bl)"", 'melodramatic']"
423204,"['usa president', 'sequel', 'secret service', 'framed for a crime', 'terrorist plot', 'assassination attempt', 'survivalism', 'u.s. secret service agent', 'manhunt', 'father son relationship', 'intense', 'audacious', 'mean spirited']"
1126166,"['hitman', 'pilot', 'airplane accident', 'informant', 'anchorage, alaska', 'cessna', 'federal marshal', 'accountant']"
514593,"['wales', 'husband wife relationship', 'countryside', 'based on novel or book', 'nightmare', 'house', 'time loop', 'writer', 'jealous husband', 'loop', 'family life']"
519182,"['superhero', 'villain', 'sequel', 'super villain', 'aftercreditsstinger', 'duringcreditsstinger', 'kids', 'calm', 'illumination']"
377,"['dreams', 'nightmare', 'psychopath', 'sleep', 'child murder', 'supernatural', 'ohio', 'murder', 'slasher', 'trapped', 'alcoholic', 'boiler room', 'booby trap', 'nostalgic', 'disfigurement', 'medical test', 'nightmare becomes reality', 'caffeine', 'shocking', 'vexed', 'frantic', 'grim', 'desperate', 'anxious', 'supernatural horror', 'suspenseful', 'frightened', 'teen scream', 'suburban gothic']"
1064486,"['difficult childhood', 'death of father', 'stop motion', 'adult animation', 'death in childbirth', 'broken family', 'brother sister relationship', 'snail', 'sentimental']"
539972,"['hunter', 'superhero', 'villain', 'based on comic', 'supervillain', 'antihero', 'intense', 'admiring', 'antagonistic']"
299536,"['sacrifice', 'magic', 'superhero', 'based on comic', 'space', 'battlefield', 'genocide', 'magical object', 'super power', 'superhero team', 'aftercreditsstinger', 'marvel cinematic universe (mcu)', 'cosmic']"
575265,"['artificial intelligence (a.i.)', 'submarine', 'espionage', 'spy', 'secret agent', 'stunt', 'sequel', 'based on tv series', 'spy action']"
