id,platforms
28154,"PlayStation 4, Nintendo Switch, Xbox One, macOS, PC"
4003,"PlayStation 3, Xbox 360, macOS, PC"
2792,"PlayStation 4, Linux, macOS, PC, iOS, Xbox One"
356714,"Android, Nintendo Switch, PC, iOS, PlayStation 4, PlayStation 5, Xbox One"
19590,"Xbox 360, Xbox One, PC"
1010,"Nintendo Switch, PlayStation 4, PC, iOS, macOS, Linux"
3497,"PlayStation 4, PlayStation 3, PC, Xbox One, Xbox 360"
17959,"Xbox One, PC, Nintendo Switch, Xbox 360"
2235,"PlayStation 3, PC, Android, Xbox 360"
1256,"Nintendo Switch, macOS, PC, PlayStation 4, Linux"
28568,"Xbox 360, PlayStation 3, Xbox One, PC, macOS, PlayStation 4"
3556,"PC, Xbox One, Nintendo Switch, Android, iOS, PlayStation 4"
28202,"PlayStation 4, PC, Nintendo Switch, Xbox One"
262382,"PC, macOS, Xbox One, Nintendo Switch, PlayStation 4, Xbox Series S/X, PlayStation 5"
326243,"PC, Xbox One, PlayStation 4, Xbox Series S/X, PlayStation 5"
4013,"PlayStation 3, PC, Nintendo Switch, Xbox 360, Xbox One"
4544,"PC, Nintendo Switch, PlayStation 4, Xbox One, Xbox 360, PlayStation 3"
3876,"Wii U, PC, macOS, Xbox 360, PlayStation 3"
58777,"PC, PlayStation 4, Xbox One, Nintendo Switch, PlayStation 5"
3766,"PlayStation 4, PlayStation 3, Xbox 360, Xbox One, macOS, PC"
3474,"Xbox One, PlayStation 4, PC"
4527,"PC, Xbox One, PlayStation 3, macOS, Xbox 360"
10297,"iOS, PC, macOS, PlayStation 4, Xbox One, Nintendo Switch, Linux"
22571,"Xbox One, PC, PlayStation 4"
3990,"PlayStation 3, PlayStation 4"
13305,"Wii U, Xbox 360, PlayStation 3, Xbox One, PlayStation 4, PC"
51325,"PlayStation 4, PlayStation 5"
559,"PlayStation 4, Xbox One, PC, Nintendo Switch, Android, iOS"
3853,"PlayStation 4, Nintendo Switch, PC, Linux, macOS"
